Country Name,"Country Code","Series Name","Series Code","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2023 [YR2023]"
Argentina,"ARG","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS","1.06589954457131","1.06193899066126","1.02152341690235","0.969933232604466","0.919946231371167","0.873532533409091","0.832650029041697","0.800601982061541","0.781841850919857","0.745070880008561","0.725284586975534","0.707554391624231","0.688483533321059","0.67736592526016","0.625513639973088","0.608956444450992","0.631425683343258","0.624305051358124","0.609655372977703","0.60550970861866","0.57090709431071","0.646132629931651","0.612884087432253"
Argentina,"ARG","Agricultural land (sq. km)","AG.LND.AGRI.K2","1286060","1287100","1291033","1294966","1299209","1301389","1299684","1270469","1243284","1262679","1253184","1247419","1229374","1211889","1207394","1189899","1176404","1159577.597","1165577.597","1177577.597","1179577.597","..",".."
Argentina,"ARG","Agricultural land (% of land area)","AG.LND.AGRI.ZS","46.9932655872605","47.031267699301","47.1749814557001","47.3186952120993","47.4737365211259","47.5533947944415","47.4910932549905","46.4235627710848","45.4302094866426","46.1389123357048","45.7919603608739","45.5813044224958","44.9219312381015","44.1959177327355","44.1239360687546","43.4324236577764","42.9825761047104","42.3614771494031","42.6057296222809","43.0005774859411","43.1099197570788","43.427782101736",".."
Argentina,"ARG","Agricultural irrigated land (% of total agricultural land)","AG.LND.IRIG.AG.ZS","..","1.05353119415741","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1.19957474480252","..","..","..","..",".."
Argentina,"ARG","Agricultural raw materials exports (% of merchandise exports)","TX.VAL.AGRI.ZS.UN","1.61216031909465","1.55019249710461","1.51674538738288","1.62930715800304","1.36228945621451","1.2732914273962","1.23865399494115","0.976046380487917","1.06217864861353","1.19064550683135","1.25043866858025","0.930824975314373","0.906492219845299","1.05036903431358","0.987528543315999","1.06450407275824","1.1059470090199","0.997843667317663","0.881330876697899","0.875916609986476","0.746858769589611","0.755154416488321","0.685733538526298"
Australia,"AUS","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS","4.7543064931777","4.38211496726565","3.91312095248739","3.73789349853581","3.57984149251822","3.41194956557225","3.32081122887186","3.22332702498387","3.23427567230708","3.23040624372574","2.81994456849775","2.80178485727978","2.61819107663765","2.7983194656003","2.63650803423428","2.62122457246931","2.59605356118121","2.61685205763183","2.55829256359513","2.76599842250404","2.491567095961","2.17741430760733","2.14756517038717"
Australia,"AUS","Agricultural land (sq. km)","AG.LND.AGRI.K2","4557000","4470000","4395000","3949060","4102300","4093020","3983555","3892880","3842570","3763720","3961210","3870760","3717750","3744230","3481190","3426020","3718370","3588950","3624770","3557750","3635190","..",".."
Australia,"AUS","Agricultural land (% of land area)","AG.LND.AGRI.ZS","59.3181729429988","58.1856995951733","57.2094294677375","51.4046574593546","53.3993725837314","53.27857542663","51.8536766332999","50.6733660492301","50.0184840477461","48.9920987204353","51.5628132199992","50.3854314463116","48.3937102169923","48.7383986566523","45.3144240657095","44.5399257932247","48.3406179391109","46.6580950127535","47.1237724290889","46.2524798427461","47.2592374954823","47.2592374954823",".."
Australia,"AUS","Agricultural irrigated land (% of total agricultural land)","AG.LND.IRIG.AG.ZS","0.549923195084485","0.569351230425056","0.541069397042093","0.60824601297524","0.586256490261561","0.62203458570933","0.482734642800212","0.475483446702698","0.458287031856284","0.489143719511547","0.495555650924844","0.553121350845829","0.639634187344496","0.630650360688312","0.61734636719053","0.626674683743819","0.603490239002574","0.640298694604271","0.539344565310351","0.427517391609866","0.535047686640863","..",".."
Australia,"AUS","Agricultural raw materials exports (% of merchandise exports)","TX.VAL.AGRI.ZS.UN","6.23540408356143","5.77630967662135","5.0149013398043","4.82092899843079","3.89836057967186","3.43443122853287","3.42597095876254","2.44195267626823","2.28287654355944","2.49104337066572","3.00569410485789","3.00531047364445","2.99470589444734","2.76493060320893","2.96531758830698","3.16692468528045","2.99020531601444","2.88539371871431","2.10586306694383","1.42875357293941","1.67335400394325","1.76708124691119","1.78724864922609"
